,"Thu 3/27","Fri 3/28","Sat 3/29","Sun 3/30","Mon 3/31","Tue 4/1","Wed 4/2","Thu 4/3","Fri 4/4","Sat 4/5","Sun 4/6","Mon 4/7","Tue 4/8","Wed 4/9","Thu 4/10","Fri 4/11","Sat 4/12","Sun 4/13","Mon 4/14","Tue 4/15","Wed 4/16","Thu 4/17","Fri 4/18","Sat 4/19","Sun 4/20","Mon 4/21","Tue 4/22","Wed 4/23"
game,"W12-2 @ TOR","L2-8 @ TOR","W9-5 @ TOR","L1-3 @ TOR","W8-5 vs BOS",,"L0-3 vs BOS","L4-8 vs BOS","L2-8 @ KC","W8-1 @ KC","L1-4 @ KC","W5-1 @ ARI","L3-4 @ ARI","L0-9 @ ARI",,"Fri 7:05pm vs TOR","W5-4 vs TOR","L6-7 vs TOR",,"L3-6 vs CLE","W9-1 vs CLE","W6-2 vs CLE","L3-8 vs CIN","Sat 4:05pm vs CIN","Sun 1:35pm vs CIN",,"Tue 6:45pm @ WSH","Wed 6:45pm @ WSH"
stats,"2-1 3.00 ERA","0-4 8.84 ERA","2-2 6.41 ERA","2-1 3.43 ERA","0-2 6.38 ERA",,"2-1 3.00 ERA","0-4 8.84 ERA","2-2 6.41 ERA","2-1 3.43 ERA","0-2 6.38 ERA","2-1 3.00 ERA","0-4 8.84 ERA","2-2 6.41 ERA",,,"2-1 3.43 ERA","0-2 6.38 ERA",,"0-4 8.84 ERA","2-2 6.41 ERA","2-1 3.43 ERA","0-2 6.38 ERA","0-0 0.00 ERA","0-4 8.84 ERA",,"2-2 6.41 ERA","2-1 3.43 ERA"

BOS,"G. Crochet (L)","T. Houck (R)","W. Buehler (R)","R. Fitts (R)","S. Newcomb (L)","OFF DAY","G. Crochet (L)","T. Houck (R)","W. Buehler (R)",POSTPONED,"S. Newcomb (L)","R. Fitts (R)","G. Crochet (L)","T. Houck (R)","W. Buehler (R)","S. Newcomb (L)","R. Fitts (R)","G. Crochet (L)","T. Houck (R)","W. Buehler (R)","S. Newcomb (L)","OFF DAY","H. Dobbins (R)","G. Crochet (L)","T. Houck (R)","W. Buehler (R)","B. Bello (R)","S. Newcomb (L)"
game,"W5-2 @ TEX","L1-4 @ TEX","L3-4 @ TEX","L2-3 @ TEX","L5-8 @ BAL",,"W3-0 @ BAL","W8-4 @ BAL","W13-9 vs STL","Sat 4:10pm vs STL","W5-4 vs STL","L2-6 vs TOR","L1-6 vs TOR","L1-2 vs TOR","W4-3 vs TOR","L1-11 @ CWS","L2-3 @ CWS","W3-1 @ CWS","L1-16 @ TB","W7-4 @ TB","W1-0 @ TB",,"W10-3 vs CWS","Sat 4:10pm vs CWS","Sun 1:35pm vs CWS","Mon 11:10am vs CWS","Tue 6:45pm vs SEA","Wed 6:45pm vs SEA"
stats,"2-1 1.38 ERA","0-2 9.16 ERA","2-1 5.23 ERA","0-2 3.18 ERA","0-2 3.63 ERA",,"2-1 1.38 ERA","0-2 9.16 ERA","2-1 5.23 ERA",,"0-2 3.63 ERA","0-2 3.18 ERA","2-1 1.38 ERA","0-2 9.16 ERA","2-1 5.23 ERA","0-2 3.63 ERA","0-2 3.18 ERA","2-1 1.38 ERA","0-2 9.16 ERA","2-1 5.23 ERA","0-2 3.63 ERA",,"2-0 2.45 ERA","2-1 1.38 ERA","0-2 9.16 ERA","2-1 5.23 ERA","0-0 0.00 ERA","0-2 3.63 ERA"
BOS,---,---,---,---,---,---,---,---,---,---,"H. Dobbins (R)",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
game,,,,,,,,,,,"W18-7 vs STL",,,,,,,,,,,,,,,,,
stats,,,,,,,,,,,"2-0 2.45 ERA",,,,,,,,,,,,,,,,,

CHC,"J. Steele (L)","J. Taillon (R)","S. Imanaga (L)","M. Boyd (L)","B. Brown (R)","J. Steele (L)","J. Taillon (R)","OFF DAY","S. Imanaga (L)","M. Boyd (L)","B. Brown (R)","J. Steele (L)","J. Taillon (R)","S. Imanaga (L)","OFF DAY","M. Boyd (L)","B. Brown (R)","C. Rea (R)","J. Taillon (R)","S. Imanaga (L)","M. Boyd (L)","OFF DAY","C. Rea (R)","B. Brown (R)","J. Taillon (R)","OFF DAY","S. Imanaga (L)","M. Boyd (L)"
game,"W10-6 @ ARI","L1-8 @ ARI","W4-3 @ ARI","L6-10 @ ARI","W18-3 @ ATH","W7-4 @ ATH","W10-2 @ ATH",,"W3-1 vs SD","W7-1 vs SD","L7-8 vs SD","W7-0 vs TEX","W10-6 vs TEX","L2-6 vs TEX",,"L0-3 @ LAD","W16-0 @ LAD","W4-2 @ LAD","L4-10 @ SD","W2-1 @ SD","L2-4 @ SD",,"W13-11 vs ARI","W6-2 vs ARI","Sun 2:20pm vs ARI",,"Tue 7:40pm vs LAD","Wed 7:00pm vs LAD"
stats,"3-1 4.76 ERA","1-1 5.40 ERA","2-1 2.22 ERA","1-2 2.01 ERA","2-1 5.09 ERA","3-1 4.76 ERA","1-1 5.40 ERA",,"2-1 2.22 ERA","1-2 2.01 ERA","2-1 5.09 ERA","3-1 4.76 ERA","1-1 5.40 ERA","2-1 2.22 ERA",,"1-2 2.01 ERA","2-1 5.09 ERA","0-0 1.32 ERA","1-1 5.40 ERA","2-1 2.22 ERA","1-2 2.01 ERA",,"0-0 1.32 ERA","2-1 5.09 ERA","1-1 5.40 ERA",,"2-1 2.22 ERA","1-2 2.01 ERA"

CIN,"H. Greene (R)","OFF DAY","N. Lodolo (L)","N. Martinez (R)","B. Singer (R)","C. Spiers (R)","H. Greene (R)","N. Lodolo (L)","N. Martinez (R)","B. Singer (R)","C. Spiers (R)","H. Greene (R)","N. Lodolo (L)","N. Martinez (R)","OFF DAY","B. Singer (R)","A. Abbott (L)","H. Greene (R)","OFF DAY","N. Lodolo (L)","N. Martinez (R)","B. Singer (R)","A. Abbott (L)","H. Greene (R)","C. Spiers (R)","N. Lodolo (L)","N. Martinez (R)","B. Singer (R)"
game,"L4-6 vs SF",,"W3-2 vs SF","L3-6 vs SF","W14-3 vs TEX","L0-1 vs TEX","L0-1 vs TEX","L0-1 @ MIL","L2-3 @ MIL","W11-7 @ MIL","L2-8 @ MIL","W2-0 @ SF","W1-0 @ SF","L6-8 @ SF",,"W5-3 vs PIT","W5-2 vs PIT","W4-0 vs PIT",,"W8-4 vs SEA","L3-5 vs SEA","L7-11 vs SEA","W8-3 @ BAL","Sat 4:05pm @ BAL","Sun 1:35pm @ BAL","Mon 6:40pm @ MIA","Tue 6:40pm @ MIA","Wed 1:10pm @ MIA"
stats,"2-1 0.98 ERA",,"2-1 2.31 ERA","0-3 6.00 ERA","3-0 3.38 ERA","0-2 4.82 ERA","2-1 0.98 ERA","2-1 2.31 ERA","0-3 6.00 ERA","3-0 3.38 ERA","0-2 4.82 ERA","2-1 0.98 ERA","2-1 2.31 ERA","0-3 6.00 ERA",,"3-0 3.38 ERA","2-0 1.64 ERA","2-1 0.98 ERA",,"2-1 2.31 ERA","0-3 6.00 ERA","3-0 3.38 ERA","2-0 1.64 ERA","2-1 0.98 ERA","0-2 4.82 ERA","2-1 2.31 ERA","0-3 6.00 ERA","3-0 3.38 ERA"

CLE,"B. Lively (R)","OFF DAY","G. Williams (R)","T. Bibee (R)","L. Ortiz (R)","L. Allen (L)","B. Lively (R)","OFF DAY","G. Williams (R)","T. Bibee (R)","L. Ortiz (R)","OFF DAY","B. Lively (R)","L. Allen (L)","G. Williams (R)","T. Bibee (R)","L. Ortiz (R)","B. Lively (R)","OFF DAY","L. Allen (L)","G. Williams (R)","T. Bibee (R)","L. Ortiz (R)","B. Lively (R)","L. Allen (L)","G. Williams (R)","T. Bibee (R)","L. Ortiz (R)"
game,"W7-4 @ KC",,"L3-4 @ KC","W6-2 @ KC","L2-7 @ SD","L0-7 @ SD","L2-5 @ SD",,"W8-6 @ LAA","L4-10 @ LAA","L2-6 @ LAA",,"W1-0 vs CWS","W3-2 vs CWS","W6-1 vs CWS","W7-0 vs KC","W6-3 vs KC","L2-4 vs KC",,"W6-3 @ BAL","L1-9 @ BAL","L2-6 @ BAL","W10-7 @ PIT","Sat 4:05pm @ PIT","Sun 1:35pm @ PIT","Mon 6:10pm vs NYY","Tue 6:10pm vs NYY","Wed 1:10pm vs NYY"
stats,"0-2 4.87 ERA",,"1-1 4.58 ERA","1-2 5.85 ERA","2-2 5.48 ERA","1-1 2.30 ERA","0-2 4.87 ERA",,"1-1 4.58 ERA","1-2 5.85 ERA","2-2 5.48 ERA",,"0-2 4.87 ERA","1-1 2.30 ERA","1-1 4.58 ERA","1-2 5.85 ERA","2-2 5.48 ERA","0-2 4.87 ERA",,"1-1 2.30 ERA","1-1 4.58 ERA","1-2 5.85 ERA","2-2 5.48 ERA","0-2 4.87 ERA","1-1 2.30 ERA","1-1 4.58 ERA","1-2 5.85 ERA","2-2 5.48 ERA"

COL,"OFF DAY","K. Freeland (L)","A. Senzatela (R)","R. Feltner (R)","G. Marquez (R)","OFF DAY","K. Freeland (L)","A. Senzatela (R)","R. Feltner (R)","G. Marquez (R)","C. Dollander (R)","OFF DAY","K. Freeland (L)","A. Senzatela (R)","R. Feltner (R)","G. Marquez (R)","C. Dollander (R)","K. Freeland (L)","A. Senzatela (R)","R. Feltner (R)","G. Marquez (R)","OFF DAY",POSTPONED,"C. Dollander (R)","K. Freeland (L)","OFF DAY","R. Feltner (R)","G. Marquez (R)"
game,,"L2-3 @ TB","W2-1 @ TB","L4-6 @ TB","L1-6 @ PHI",,"L1-5 @ PHI","L1-3 @ PHI","L3-6 vs ATH","L4-7 vs ATH","W12-5 vs ATH",,"L1-7 vs MIL","L2-17 vs MIL","W7-2 vs MIL","L0-8 @ SD","L0-2 @ SD","L0-6 @ SD","L3-5 @ LAD","L2-6 @ LAD","L7-8 @ LAD",,"Fri 8:40pm vs WSH","Sat 4:10pm vs WSH","Sun 3:10pm vs WSH",,"Tue 7:40pm @ KC","Wed 7:40pm @ KC"
stats,,"0-3 4.88 ERA","0-3 5.89 ERA","0-1 4.82 ERA","0-3 8.27 ERA",,"0-3 4.88 ERA","0-3 5.89 ERA","0-1 4.82 ERA","0-3 8.27 ERA","1-1 5.06 ERA",,"0-3 4.88 ERA","0-3 5.89 ERA","0-1 4.82 ERA","0-3 8.27 ERA","1-1 5.06 ERA","0-3 4.88 ERA","0-3 5.89 ERA","0-1 4.82 ERA","0-3 8.27 ERA",,,"1-1 5.06 ERA","0-3 4.88 ERA",,"0-1 4.82 ERA","0-3 8.27 ERA"
COL,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"A. Senzatela (R)",---,---,---
game,,,,,,,,,,,,,,,,,,,,,,,,,"Sun 8:10pm vs WSH",,,
stats,,,,,,,,,,,,,,,,,,,,,,,,,"0-3 5.89 ERA",,,

CWS,"S. Burke (R)","OFF DAY","J. Cannon (R)","D. Martin (R)","M. Perez (L)","S. Smith (R)","S. Burke (R)","OFF DAY","J. Cannon (R)","D. Martin (R)","M. Perez (L)","OFF DAY","S. Smith (R)","S. Burke (R)","J. Cannon (R)","D. Martin (R)","M. Perez (L)","S. Smith (R)","OFF DAY","S. Burke (R)","J. Cannon (R)","D. Martin (R)","M. Perez (L)","S. Smith (R)","S. Burke (R)","J. Cannon (R)","D. Martin (R)","J. Iriarte (R)"
game,"W8-1 vs LAA",,"L0-1 vs LAA","L2-3 vs LAA","W9-0 vs MIN","L3-8 vs MIN","L1-6 vs MIN",,"L4-7 @ DET","L2-7 @ DET","L3-4 @ DET",,"L0-1 @ CLE","L2-3 @ CLE","L1-6 @ CLE","W11-1 vs BOS","W3-2 vs BOS","L1-3 vs BOS",,"L3-12 vs ATH","L1-3 vs ATH","L0-8 vs ATH","L3-10 @ BOS","Sat 4:10pm @ BOS","Sun 1:35pm @ BOS","Mon 11:10am @ BOS","Tue 7:40pm @ MIN","Wed 7:40pm @ MIN"
stats,"1-3 7.56 ERA",,"0-2 4.42 ERA","1-2 4.84 ERA","1-1 3.15 ERA","0-1 2.04 ERA","1-3 7.56 ERA",,"0-2 4.42 ERA","1-2 4.84 ERA","1-1 3.15 ERA",,"0-1 2.04 ERA","1-3 7.56 ERA","0-2 4.42 ERA","1-2 4.84 ERA","1-1 3.15 ERA","0-1 2.04 ERA",,"1-3 7.56 ERA","0-2 4.42 ERA","1-2 4.84 ERA","1-1 3.15 ERA","0-1 2.04 ERA","1-3 7.56 ERA","0-2 4.42 ERA","1-2 4.84 ERA","0-0 0.00 ERA"

DET,"T. Skubal (L)","J. Flaherty (R)","R. Olson (R)","OFF DAY","J. Jobe (R)","C. Mize (R)","T. Skubal (L)","OFF DAY","J. Flaherty (R)","R. Olson (R)","J. Jobe (R)","C. Mize (R)","T. Skubal (L)","J. Flaherty (R)","OFF DAY","R. Olson (R)","J. Jobe (R)","C. Mize (R)","T. Skubal (L)","J. Flaherty (R)","K. Montero (R)","R. Olson (R)","J. Jobe (R)","C. Mize (R)","T. Skubal (L)","J. Flaherty (R)","K. Montero (R)","R. Olson (R)"
game,"L4-5 @ LAD","L5-8 @ LAD","L3-7 @ LAD",,"W9-6 @ SEA","W4-1 @ SEA","L2-3 @ SEA",,"W7-4 vs CWS","W7-2 vs CWS","W4-3 vs CWS","W6-2 vs NYY","W5-0 vs NYY","L3-4 vs NYY",,"W7-6 @ MIN","W4-0 @ MIN","L1-5 @ MIN","W9-1 @ MIL","L0-5 @ MIL","L1-5 @ MIL","W6-1 vs KC","W7-3 vs KC","W3-1 vs KC","Sun 1:40pm vs KC","Mon 6:40pm vs SD","Tue 6:40pm vs SD","Wed 1:10pm vs SD"
stats,"2-2 2.66 ERA","1-1 2.53 ERA","2-1 4.50 ERA",,"2-0 2.70 ERA","2-1 2.60 ERA","2-2 2.66 ERA",,"1-1 2.53 ERA","2-1 4.50 ERA","2-0 2.70 ERA","2-1 2.60 ERA","2-2 2.66 ERA","1-1 2.53 ERA",,"2-1 4.50 ERA","2-0 2.70 ERA","2-1 2.60 ERA","2-2 2.66 ERA","1-1 2.53 ERA","0-1 9.00 ERA","2-1 4.50 ERA","2-0 2.70 ERA","2-1 2.60 ERA","2-2 2.66 ERA","1-1 2.53 ERA","0-1 9.00 ERA","2-1 4.50 ERA"

HOU,"F. Valdez (L)","H. Brown (R)","S. Arrighetti (R)","OFF DAY","R. Blanco (R)","H. Wesneski (R)","F. Valdez (L)","H. Brown (R)","OFF DAY","S. Arrighetti (R)","R. Blanco (R)","H. Wesneski (R)","F. Valdez (L)","H. Brown (R)","OFF DAY","R. Blanco (R)","R. Gusto (R)","H. Wesneski (R)","F. Valdez (L)","H. Brown (R)","R. Blanco (R)","OFF DAY","R. Gusto (R)","H. Wesneski (R)","F. Valdez (L)","H. Brown (R)","R. Blanco (R)","R. Gusto (R)"
game,"W3-1 vs NYM","L1-3 vs NYM","W2-1 vs NYM",,"L2-7 vs SF","L1-3 vs SF","L3-6 vs SF","W5-2 @ MIN",,"L1-6 @ MIN","W9-7 @ MIN","L3-4 @ SEA","W2-1 @ SEA","L6-7 @ SEA",,"W14-3 vs LAA","L1-4 vs LAA","W7-3 vs LAA","L3-8 @ STL","W2-0 @ STL","L1-4 @ STL",,"W6-4 vs SD","Sat 7:10pm vs SD","Sun 7:10pm vs SD","Mon 8:10pm vs TOR","Tue 8:10pm vs TOR","Wed 7:40pm vs TOR"
stats,"1-2 4.91 ERA","2-1 1.50 ERA","1-1 5.59 ERA",,"1-2 6.48 ERA","1-1 4.00 ERA","1-2 4.91 ERA","2-1 1.50 ERA",,"1-1 5.59 ERA","1-2 6.48 ERA","1-1 4.00 ERA","1-2 4.91 ERA","2-1 1.50 ERA",,"1-2 6.48 ERA","2-1 3.18 ERA","1-1 4.00 ERA","1-2 4.91 ERA","2-1 1.50 ERA","1-2 6.48 ERA",,"2-1 3.18 ERA","1-1 4.00 ERA","1-2 4.91 ERA","2-1 1.50 ERA","1-2 6.48 ERA","2-1 3.18 ERA"

