,"Thu 3/27","Fri 3/28","Sat 3/29","Sun 3/30","Mon 3/31","Tue 4/1","Wed 4/2","Thu 4/3","Fri 4/4","Sat 4/5","Sun 4/6","Mon 4/7","Tue 4/8","Wed 4/9","Thu 4/10","Fri 4/11","Sat 4/12","Sun 4/13","Mon 4/14","Tue 4/15","Wed 4/16","Thu 4/17","Fri 4/18","Sat 4/19","Sun 4/20","Mon 4/21","Tue 4/22","Wed 4/23"
stats,"1-0 2.00 ERA","3-1 0.93 ERA","0-1 3.29 ERA",,"1-0 4.85 ERA","1-1 1.06 ERA","1-0 2.00 ERA",,"3-1 0.93 ERA","0-1 3.29 ERA","1-0 4.85 ERA","1-1 1.06 ERA","0-1 14.40 ERA","1-0 7.27 ERA",,"3-1 0.93 ERA","0-1 3.29 ERA","1-0 4.85 ERA","1-1 1.06 ERA","1-0 7.27 ERA","0-0 18.00 ERA",,"3-1 0.93 ERA","0-1 3.29 ERA","1-0 4.85 ERA",,"1-1 1.06 ERA","0-0 5.40 ERA"

MIA,"S. Alcantara (R)","C. Gillispie (R)","V. Bellozo (R)","M. Meyer (R)","C. Quantrill (R)","S. Alcantara (R)","C. Gillispie (R)","OFF DAY","M. Meyer (R)","C. Quantrill (R)",POSTPONED,"V. Bellozo (R)","C. Gillispie (R)","M. Meyer (R)","OFF DAY","E. Cabrera (R)","S. Alcantara (R)","C. Quantrill (R)","OFF DAY","C. Gillispie (R)","M. Meyer (R)","E. Cabrera (R)","S. Alcantara (R)","C. Quantrill (R)","C. Gillispie (R)","M. Meyer (R)","E. Cabrera (R)","S. Alcantara (R)"
game,"W5-4 vs PIT","L3-4 vs PIT","W5-4 vs PIT","W3-2 vs PIT","L4-10 vs NYM","W4-2 vs NYM","L5-6 vs NYM",,"L0-10 @ ATL","W4-0 @ ATL","Sun 1:35pm @ ATL","L0-2 @ NYM","L5-10 @ NYM","W5-0 @ NYM",,"L4-7 vs WSH","W7-6 vs WSH","W11-4 vs WSH",,"L4-10 vs ARI","L2-6 vs ARI","L4-6 vs ARI","L2-7 @ PHI","L10-11 @ PHI","Sun 1:35pm @ PHI","Mon 6:40pm vs CIN","Tue 6:40pm vs CIN","Wed 1:10pm vs CIN"
stats,"2-1 7.27 ERA","0-2 6.63 ERA","0-1 2.25 ERA","1-2 2.63 ERA","1-1 5.79 ERA","2-1 7.27 ERA","0-2 6.63 ERA",,"1-2 2.63 ERA","1-1 5.79 ERA",,"0-1 2.25 ERA","0-2 6.63 ERA","1-2 2.63 ERA",,"0-1 6.52 ERA","2-1 7.27 ERA","1-1 5.79 ERA",,"0-2 6.63 ERA","1-2 2.63 ERA","0-1 6.52 ERA","2-1 7.27 ERA","1-1 5.79 ERA","0-2 6.63 ERA","1-2 2.63 ERA","0-1 6.52 ERA","2-1 7.27 ERA"

MIL,"F. Peralta (R)","OFF DAY","N. Cortes (L)","A. Civale (R)","E. Rodriguez (R)","C. Patrick (R)","F. Peralta (R)","N. Cortes (L)","T. Alexander (L)","E. Rodriguez (R)","C. Patrick (R)","OFF DAY","F. Peralta (R)","T. Alexander (L)","Q. Priester (R)","J. Quintana (L)","C. Patrick (R)","F. Peralta (R)","T. Alexander (L)","Q. Priester (R)","J. Quintana (L)","OFF DAY","F. Peralta (R)","C. Patrick (R)","L. Henderson (R)","Q. Priester (R)","J. Quintana (L)","F. Peralta (R)"
game,"L2-4 @ NYY",,"L9-20 @ NYY","L3-12 @ NYY","L1-11 vs KC","W5-0 vs KC","W3-2 vs KC","W1-0 vs CIN","W3-2 vs CIN","L7-11 vs CIN","W8-2 vs CIN",,"W7-1 @ COL","W17-2 @ COL","L2-7 @ COL","W7-0 @ ARI","L4-5 @ ARI","L2-5 @ ARI","L1-9 vs DET","W5-0 vs DET","W5-1 vs DET",,"W5-3 vs ATH","Sat 7:10pm vs ATH","Sun 2:10pm vs ATH","Mon 9:45pm @ SF","Tue 9:45pm @ SF","Wed 9:45pm @ SF"
stats,"2-1 1.91 ERA",,"1-1 9.00 ERA","0-1 15.00 ERA","0-2 7.53 ERA","1-0 1.76 ERA","2-1 1.91 ERA","1-1 9.00 ERA","1-1 4.32 ERA","0-2 7.53 ERA","1-0 1.76 ERA",,"2-1 1.91 ERA","1-1 4.32 ERA","1-0 0.90 ERA","2-0 0.71 ERA","1-0 1.76 ERA","2-1 1.91 ERA","1-1 4.32 ERA","1-0 0.90 ERA","2-0 0.71 ERA",,"2-1 1.91 ERA","1-0 1.76 ERA","0-0 0.00 ERA","1-0 0.90 ERA","2-0 0.71 ERA","2-1 1.91 ERA"

MIN,"P. Lopez (R)","OFF DAY","J. Ryan (R)","B. Ober (R)","C. Paddack (R)","S. Woods Richardson (R)","P. Lopez (R)","J. Ryan (R)","OFF DAY","B. Ober (R)","C. Paddack (R)","S. Woods Richardson (R)","P. Lopez (R)","J. Ryan (R)","B. Ober (R)","D. Festa (R)","C. Paddack (R)","S. Woods Richardson (R)","J. Ryan (R)","B. Ober (R)","D. Festa (R)","OFF DAY","C. Paddack (R)","J. Topa (R)","J. Ryan (R)","OFF DAY","B. Ober (R)","D. Festa (R)"
game,"L3-5 @ STL",,"L1-5 @ STL","L2-9 @ STL","L0-9 @ CWS","W8-3 @ CWS","W6-1 @ CWS","L2-5 vs HOU",,"W6-1 vs HOU","L7-9 vs HOU","L2-4 @ KC","L1-2 @ KC","W4-0 @ KC","L2-3 @ KC","L6-7 vs DET","L0-4 vs DET","W5-1 vs DET","L1-5 vs NYM","W6-3 vs NYM","W4-3 vs NYM",,"L4-6 @ ATL","Sat 7:15pm @ ATL","Sun 1:35pm @ ATL",,"Tue 7:40pm vs CWS","Wed 7:40pm vs CWS"
stats,"1-1 1.62 ERA",,"1-1 2.45 ERA","1-1 6.16 ERA","0-2 7.27 ERA","1-1 4.30 ERA","1-1 1.62 ERA","1-1 2.45 ERA",,"1-1 6.16 ERA","0-2 7.27 ERA","1-1 4.30 ERA","1-1 1.62 ERA","1-1 2.45 ERA","1-1 6.16 ERA","0-0 0.00 ERA","0-2 7.27 ERA","1-1 4.30 ERA","1-1 2.45 ERA","1-1 6.16 ERA","0-0 0.00 ERA",,"0-2 7.27 ERA","0-1 1.35 ERA","1-1 2.45 ERA",,"1-1 6.16 ERA","0-0 0.00 ERA"

NYM,"C. Holmes (R)","T. Megill (R)","G. Canning (R)","OFF DAY","D. Peterson (L)","K. Senga (R)","C. Holmes (R)","OFF DAY","T. Megill (R)","G. Canning (R)","D. Peterson (L)","K. Senga (R)","C. Holmes (R)","T. Megill (R)","OFF DAY","G. Canning (R)","D. Peterson (L)","K. Senga (R)","C. Holmes (R)","T. Megill (R)","H. Brazoban (R)","G. Canning (R)","D. Peterson (L)","K. Senga (R)","C. Holmes (R)","T. Megill (R)","G. Canning (R)","D. Peterson (L)"
game,"L1-3 @ HOU","W3-1 @ HOU","L1-2 @ HOU",,"W10-4 @ MIA","L2-4 @ MIA","W6-5 @ MIA",,"W5-0 vs TOR","W3-2 vs TOR","W2-1 vs TOR","W2-0 vs MIA","W10-5 vs MIA","L0-5 vs MIA",,"W7-6 @ ATH","L1-3 @ ATH","W8-0 @ ATH","W5-1 @ MIN","L3-6 @ MIN","L3-4 @ MIN","W4-1 vs STL","W5-4 vs STL","W3-0 vs STL","Sun 1:40pm vs STL","Mon 7:10pm vs PHI","Tue 7:10pm vs PHI","Wed 1:10pm vs PHI"
stats,"2-1 3.66 ERA","2-2 1.40 ERA","2-1 3.43 ERA",,"1-1 3.27 ERA","2-1 1.06 ERA","2-1 3.66 ERA",,"2-2 1.40 ERA","2-1 3.43 ERA","1-1 3.27 ERA","2-1 1.06 ERA","2-1 3.66 ERA","2-2 1.40 ERA",,"2-1 3.43 ERA","1-1 3.27 ERA","2-1 1.06 ERA","2-1 3.66 ERA","2-2 1.40 ERA","1-0 1.35 ERA","2-1 3.43 ERA","1-1 3.27 ERA","2-1 1.06 ERA","2-1 3.66 ERA","2-2 1.40 ERA","2-1 3.43 ERA","1-1 3.27 ERA"

NYY,"C. Rodon (L)","OFF DAY","M. Fried (L)","M. Stroman (R)","OFF DAY","W. Warren (R)","C. Rodon (L)","C. Carrasco (R)","M. Fried (L)","M. Stroman (R)","W. Warren (R)","C. Rodon (L)","C. Carrasco (R)","M. Fried (L)","OFF DAY","M. Stroman (R)","W. Warren (R)","C. Rodon (L)","C. Carrasco (R)","M. Fried (L)","C. Schmidt (R)","W. Warren (R)","C. Rodon (L)","C. Carrasco (R)","M. Fried (L)","C. Schmidt (R)","W. Warren (R)","C. Rodon (L)"
game,"W4-2 vs MIL",,"W20-9 vs MIL","W12-3 vs MIL",,"L5-7 vs ARI","L3-4 vs ARI","W9-7 vs ARI","W9-4 @ PIT","W10-4 @ PIT","L4-5 @ PIT","L2-6 @ DET","L0-5 @ DET","W4-3 @ DET",,"L1-9 vs SF","W8-4 vs SF","L4-5 vs SF","W4-1 vs KC","W4-2 vs KC","W4-3 vs KC","W6-3 @ TB","W1-0 @ TB","Sat 4:10pm @ TB","Sun 1:40pm @ TB","Mon 6:10pm @ CLE","Tue 6:10pm @ CLE","Wed 1:10pm @ CLE"
stats,"2-3 4.34 ERA",,"3-0 1.88 ERA","0-1 11.57 ERA",,"1-0 5.17 ERA","2-3 4.34 ERA","2-1 5.94 ERA","3-0 1.88 ERA","0-1 11.57 ERA","1-0 5.17 ERA","2-3 4.34 ERA","2-1 5.94 ERA","3-0 1.88 ERA",,"0-1 11.57 ERA","1-0 5.17 ERA","2-3 4.34 ERA","2-1 5.94 ERA","3-0 1.88 ERA","0-0 4.76 ERA","1-0 5.17 ERA","2-3 4.34 ERA","2-1 5.94 ERA","3-0 1.88 ERA","0-0 4.76 ERA","1-0 5.17 ERA","2-3 4.34 ERA"

PHI,"Z. Wheeler (R)","OFF DAY","J. Luzardo (L)","A. Nola (R)","C. Sanchez (L)","OFF DAY","Z. Wheeler (R)","T. Walker (R)","J. Luzardo (L)","A. Nola (R)","C. Sanchez (L)","OFF DAY","Z. Wheeler (R)","T. Walker (R)","J. Luzardo (L)","A. Nola (R)","C. Sanchez (L)","Z. Wheeler (R)","T. Walker (R)","J. Luzardo (L)","A. Nola (R)","C. Sanchez (L)","Z. Wheeler (R)","T. Walker (R)","J. Luzardo (L)","A. Nola (R)","C. Sanchez (L)","Z. Wheeler (R)"
game,"W7-3 @ WSH",,"W11-6 @ WSH","L1-5 @ WSH","W6-1 vs COL",,"W5-1 vs COL","W3-1 vs COL","W3-2 vs LAD","L1-3 vs LAD","W8-7 vs LAD",,"L5-7 @ ATL","W4-3 @ ATL","L2-4 @ ATL","L0-2 @ STL","W4-1 @ STL","L0-7 @ STL","L4-10 vs SF","W6-4 vs SF","L4-11 vs SF","W6-4 vs SF","W7-2 vs MIA","W11-10 vs MIA","Sun 1:35pm vs MIA","Mon 7:10pm @ NYM","Tue 7:10pm @ NYM","Wed 1:10pm @ NYM"
stats,"2-1 3.73 ERA",,"2-0 2.31 ERA","0-4 6.65 ERA","2-0 2.96 ERA",,"2-1 3.73 ERA","1-1 2.30 ERA","2-0 2.31 ERA","0-4 6.65 ERA","2-0 2.96 ERA",,"2-1 3.73 ERA","1-1 2.30 ERA","2-0 2.31 ERA","0-4 6.65 ERA","2-0 2.96 ERA","2-1 3.73 ERA","1-1 2.30 ERA","2-0 2.31 ERA","0-4 6.65 ERA","2-0 2.96 ERA","2-1 3.73 ERA","1-1 2.30 ERA","2-0 2.31 ERA","0-4 6.65 ERA","2-0 2.96 ERA","2-1 3.73 ERA"

PIT,"P. Skenes (R)","M. Keller (R)","B. Falter (L)","A. Heaney (L)","C. Mlodzinski (R)","T. Harrington (R)","P. Skenes (R)","OFF DAY","M. Keller (R)","B. Falter (L)","A. Heaney (L)","C. Mlodzinski (R)","P. Skenes (R)","M. Keller (R)","OFF DAY","B. Falter (L)","A. Heaney (L)","C. Mlodzinski (R)","P. Skenes (R)","M. Keller (R)","B. Falter (L)","A. Heaney (L)","C. Mlodzinski (R)","P. Skenes (R)","M. Keller (R)","OFF DAY","B. Falter (L)","A. Heaney (L)"
game,"L4-5 @ MIA","W4-3 @ MIA","L4-5 @ MIA","L2-3 @ MIA","L1-6 @ TB","L0-7 @ TB","W4-2 @ TB",,"L4-9 vs NYY","L4-10 vs NYY","W5-4 vs NYY","W8-4 vs STL","L3-5 vs STL","W2-1 vs STL",,"L3-5 @ CIN","L2-5 @ CIN","L0-4 @ CIN","W10-3 vs WSH","L0-3 vs WSH","W6-1 vs WSH","W1-0 vs WSH","L7-10 vs CLE","Sat 4:05pm vs CLE","Sun 1:35pm vs CLE",,"Tue 9:38pm @ LAA","Wed 9:38pm @ LAA"
stats,"2-1 2.96 ERA","1-2 4.30 ERA","1-2 4.91 ERA","1-1 2.13 ERA","1-3 7.41 ERA","0-1 10.13 ERA","2-1 2.96 ERA",,"1-2 4.30 ERA","1-2 4.91 ERA","1-1 2.13 ERA","1-3 7.41 ERA","2-1 2.96 ERA","1-2 4.30 ERA",,"1-2 4.91 ERA","1-1 2.13 ERA","1-3 7.41 ERA","2-1 2.96 ERA","1-2 4.30 ERA","1-2 4.91 ERA","1-1 2.13 ERA","1-3 7.41 ERA","2-1 2.96 ERA","1-2 4.30 ERA",,"1-2 4.91 ERA","1-1 2.13 ERA"

SD,"M. King (R)","D. Cease (R)","R. Vasquez (R)","N. Pivetta (R)","K. Hart (L)","M. King (R)","D. Cease (R)","OFF DAY","R. Vasquez (R)","N. Pivetta (R)","K. Hart (L)","M. King (R)","D. Cease (R)","R. Vasquez (R)","OFF DAY","N. Pivetta (R)","K. Hart (L)","M. King (R)","D. Cease (R)","R. Vasquez (R)","N. Pivetta (R)","OFF DAY","K. Hart (L)","M. King (R)","D. Cease (R)","R. Vasquez (R)","N. Pivetta (R)","K. Hart (L)"
game,"W7-4 vs ATL","W4-3 vs ATL","W1-0 vs ATL","W5-0 vs ATL","W7-2 vs CLE","W7-0 vs CLE","W5-2 vs CLE",,"L1-3 @ CHC","L1-7 @ CHC","W8-7 @ CHC","W5-4 @ ATH","L4-10 @ ATH","W2-1 @ ATH",,"W8-0 vs COL","W2-0 vs COL","W6-0 vs COL","W10-4 vs CHC","L1-2 vs CHC","W4-2 vs CHC",,"L4-6 @ HOU","Sat 7:10pm @ HOU","Sun 7:10pm @ HOU","Mon 6:40pm @ DET","Tue 6:40pm @ DET","Wed 1:10pm @ DET"
stats,"3-0 2.42 ERA","1-1 6.64 ERA","1-1 1.74 ERA","3-1 1.57 ERA","2-1 6.48 ERA","3-0 2.42 ERA","1-1 6.64 ERA",,"1-1 1.74 ERA","3-1 1.57 ERA","2-1 6.48 ERA","3-0 2.42 ERA","1-1 6.64 ERA","1-1 1.74 ERA",,"3-1 1.57 ERA","2-1 6.48 ERA","3-0 2.42 ERA","1-1 6.64 ERA","1-1 1.74 ERA","3-1 1.57 ERA",,"2-1 6.48 ERA","3-0 2.42 ERA","1-1 6.64 ERA","1-1 1.74 ERA","3-1 1.57 ERA","2-1 6.48 ERA"

SEA,"L. Gilbert (R)","L. Castillo (R)","B. Miller (R)","B. Woo (R)","E. Hancock (R)","L. Gilbert (R)","L. Castillo (R)","OFF DAY","L. Castillo (R)","B. Miller (R)","B. Woo (R)","L. Gilbert (R)","L. Castillo (R)","L. Castillo (R)","OFF DAY","B. Miller (R)","B. Woo (R)","L. Gilbert (R)","OFF DAY","L. Castillo (R)","B. Miller (R)","E. Hancock (R)","B. Woo (R)","L. Gilbert (R)","L. Castillo (R)","OFF DAY","B. Miller (R)","E. Hancock (R)"
game,"W4-2 vs ATH","L0-7 vs ATH","L2-4 vs ATH","W2-1 vs ATH","L6-9 vs DET","L1-4 vs DET","W3-2 vs DET",,"L9-10 @ SF","L1-4 @ SF","L4-5 @ SF","W4-3 vs HOU","L1-2 vs HOU","W7-6 vs HOU",,"W5-3 vs TEX","W9-2 vs TEX","W3-1 vs TEX",,"L4-8 @ CIN","W5-3 @ CIN","W11-7 @ CIN","L1-3 @ TOR","Sat 3:07pm @ TOR","Sun 1:37pm @ TOR",,"Tue 6:45pm @ BOS","Wed 6:45pm @ BOS"
stats,"1-1 2.38 ERA","1-2 4.22 ERA","1-2 3.43 ERA","2-1 3.12 ERA","0-1 12.71 ERA","1-1 2.38 ERA","1-2 4.22 ERA",,"0-0 7.71 ERA","1-2 3.43 ERA","2-1 3.12 ERA","1-1 2.38 ERA","1-2 4.22 ERA","0-0 7.71 ERA",,"1-2 3.43 ERA","2-1 3.12 ERA","1-1 2.38 ERA",,"1-2 4.22 ERA","1-2 3.43 ERA","0-1 12.71 ERA","2-1 3.12 ERA","1-1 2.38 ERA","1-2 4.22 ERA",,"1-2 3.43 ERA","0-1 12.71 ERA"

SF,"L. Webb (R)","OFF DAY","J. Verlander (R)","R. Ray (L)","J. Hicks (R)","L. Webb (R)","L. Roupp (R)","OFF DAY","J. Verlander (R)","R. Ray (L)","J. Hicks (R)","L. Webb (R)","L. Roupp (R)","J. Verlander (R)","OFF DAY","R. Ray (L)","J. Hicks (R)","L. Webb (R)","L. Roupp (R)","J. Verlander (R)","R. Ray (L)","J. Hicks (R)","L. Webb (R)","L. Roupp (R)","J. Verlander (R)","R. Ray (L)","J. Hicks (R)","L. Webb (R)"
game,"W6-4 @ CIN",,"L2-3 @ CIN","W6-3 @ CIN","W7-2 @ HOU","W3-1 @ HOU","W6-3 @ HOU",,"W10-9 vs SEA","W4-1 vs SEA","W5-4 vs SEA","L0-2 vs CIN","L0-1 vs CIN","W8-6 vs CIN",,"W9-1 @ NYY","L4-8 @ NYY","W5-4 @ NYY","W10-4 @ PHI","L4-6 @ PHI","W11-4 @ PHI","L4-6 @ PHI","L0-2 @ LAA","Sat 9:38pm @ LAA","Sun 4:07pm @ LAA","Mon 9:45pm vs MIL","Tue 9:45pm vs MIL","Wed 9:45pm vs MIL"
stats,"2-1 2.40 ERA",,"0-1 6.75 ERA","3-0 4.19 ERA","1-2 6.04 ERA","2-1 2.40 ERA","1-1 4.80 ERA",,"0-1 6.75 ERA","3-0 4.19 ERA","1-2 6.04 ERA","2-1 2.40 ERA","1-1 4.80 ERA","0-1 6.75 ERA",,"3-0 4.19 ERA","1-2 6.04 ERA","2-1 2.40 ERA","1-1 4.80 ERA","0-1 6.75 ERA","3-0 4.19 ERA","1-2 6.04 ERA","2-1 2.40 ERA","1-1 4.80 ERA","0-1 6.75 ERA","3-0 4.19 ERA","1-2 6.04 ERA","2-1 2.40 ERA"

STL,"S. Gray (R)","OFF DAY","E. Fedde (R)","A. Pallante (R)","M. Mikolas (R)","M. Liberatore (L)","S. Gray (R)","OFF DAY","E. Fedde (R)",POSTPONED,"A. Pallante (R)","M. Liberatore (L)","S. Gray (R)","E. Fedde (R)","OFF DAY","A. Pallante (R)","M. Mikolas (R)","M. Liberatore (L)","S. Gray (R)","E. Fedde (R)","S. Matz (L)","A. Pallante (R)","M. Mikolas (R)","M. Liberatore (L)","S. Gray (R)","E. Fedde (R)","S. Matz (L)","A. Pallante (R)"
game,"W5-3 vs MIN",,"W5-1 vs MIN","W9-2 vs MIN","L4-5 vs LAA","L7-9 vs LAA","W12-5 vs LAA",,"L9-13 @ BOS","Sat 4:10pm @ BOS","L4-5 @ BOS","L4-8 @ PIT","W5-3 @ PIT","L1-2 @ PIT",,"W2-0 vs PHI","L1-4 vs PHI","W7-0 vs PHI","W8-3 vs HOU","L0-2 vs HOU","W4-1 vs HOU","L1-4 @ NYM","L4-5 @ NYM","L0-3 @ NYM","Sun 1:40pm @ NYM","Mon 7:15pm @ ATL","Tue 7:15pm @ ATL","Wed 12:15pm @ ATL"
stats,"3-0 3.13 ERA",,"1-2 3.43 ERA","2-1 3.22 ERA","0-2 7.64 ERA","1-1 3.93 ERA","3-0 3.13 ERA",,"1-2 3.43 ERA",,"2-1 3.22 ERA","1-1 3.93 ERA","3-0 3.13 ERA","1-2 3.43 ERA",,"2-1 3.22 ERA","0-2 7.64 ERA","1-1 3.93 ERA","3-0 3.13 ERA","1-2 3.43 ERA","1-0 2.16 ERA","2-1 3.22 ERA","0-2 7.64 ERA","1-1 3.93 ERA","3-0 3.13 ERA","1-2 3.43 ERA","1-0 2.16 ERA","2-1 3.22 ERA"
STL,---,---,---,---,---,---,---,---,---,---,"M. Mikolas (R)",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
game,,,,,,,,,,,"L7-18 @ BOS",,,,,,,,,,,,,,,,,
stats,,,,,,,,,,,"0-2 7.64 ERA",,,,,,,,,,,,,,,,,

TB,"OFF DAY","R. Pepiot (R)","Z. Littell (R)","T. Bradley (R)","D. Rasmussen (R)","S. Baz (R)","R. Pepiot (R)","OFF DAY","Z. Littell (R)","T. Bradley (R)","D. Rasmussen (R)","OFF DAY","S. Baz (R)","R. Pepiot (R)","Z. Littell (R)","T. Bradley (R)","D. Rasmussen (R)","J. Boyle (R)","S. Baz (R)","R. Pepiot (R)","Z. Littell (R)","T. Bradley (R)","D. Rasmussen (R)","S. Baz (R)","R. Pepiot (R)","OFF DAY","Z. Littell (R)","T. Bradley (R)"
game,,"W3-2 vs COL","L1-2 vs COL","W6-4 vs COL","W6-1 vs PIT","W7-0 vs PIT","L2-4 vs PIT",,"L2-5 @ TEX","L4-6 @ TEX","L3-4 @ TEX",,"L3-4 vs LAA","W5-4 vs LAA","L1-11 vs LAA","W6-3 vs ATL","L4-5 vs ATL","W8-3 vs ATL","W16-1 vs BOS","L4-7 vs BOS","L0-1 vs BOS","L3-6 vs NYY","L0-1 vs NYY","Sat 4:10pm vs NYY","Sun 1:40pm vs NYY",,"Tue 9:40pm @ ARI","Wed 9:40pm @ ARI"
stats,,"1-2 4.91 ERA","0-4 5.48 ERA","2-1 5.24 ERA","1-1 0.87 ERA","2-0 1.42 ERA","1-2 4.91 ERA",,"0-4 5.48 ERA","2-1 5.24 ERA","1-1 0.87 ERA",,"2-0 1.42 ERA","1-2 4.91 ERA","0-4 5.48 ERA","2-1 5.24 ERA","1-1 0.87 ERA","1-0 0.00 ERA","2-0 1.42 ERA","1-2 4.91 ERA","0-4 5.48 ERA","2-1 5.24 ERA","1-1 0.87 ERA","2-0 1.42 ERA","1-2 4.91 ERA",,"0-4 5.48 ERA","2-1 5.24 ERA"

TEX,"N. Eovaldi (R)","J. Leiter (R)","T. Mahle (R)","J. deGrom (R)","K. Rocker (R)","N. Eovaldi (R)","J. Leiter (R)","OFF DAY","T. Mahle (R)","J. deGrom (R)","K. Rocker (R)","N. Eovaldi (R)","P. Corbin (L)","T. Mahle (R)","OFF DAY","J. deGrom (R)","K. Rocker (R)","N. Eovaldi (R)","OFF DAY","T. Mahle (R)","P. Corbin (L)","K. Rocker (R)","J. deGrom (R)","N. Eovaldi (R)","T. Mahle (R)","OFF DAY","P. Corbin (L)","J. Leiter (R)"
game,"L2-5 vs BOS","W4-1 vs BOS","W4-3 vs BOS","W3-2 vs BOS","L3-14 @ CIN","W1-0 @ CIN","W1-0 @ CIN",,"W5-2 vs TB","W6-4 vs TB","W4-3 vs TB","L0-7 @ CHC","L6-10 @ CHC","W6-2 @ CHC",,"L3-5 @ SEA","L2-9 @ SEA","L1-3 @ SEA",,"W4-0 vs LAA","W3-1 vs LAA","W5-3 vs LAA","L0-3 vs LAD","W4-3 vs LAD","Sun 2:35pm vs LAD",,"Tue 10:05pm @ ATH","Wed 10:05pm @ ATH"
stats,"1-2 2.55 ERA","2-0 0.90 ERA","3-0 0.92 ERA","0-1 3.32 ERA","1-2 6.38 ERA","1-2 2.55 ERA","2-0 0.90 ERA",,"3-0 0.92 ERA","0-1 3.32 ERA","1-2 6.38 ERA","1-2 2.55 ERA","1-0 3.86 ERA","3-0 0.92 ERA",,"0-1 3.32 ERA","1-2 6.38 ERA","1-2 2.55 ERA",,"3-0 0.92 ERA","1-0 3.86 ERA","1-2 6.38 ERA","0-1 3.32 ERA","1-2 2.55 ERA","3-0 0.92 ERA",,"1-0 3.86 ERA","2-0 0.90 ERA"

TOR,"J. Berrios (R)","K. Gausman (R)","M. Scherzer (R)","C. Bassitt (R)","B. Francis (R)","J. Berrios (R)","E. Lucas (L)","OFF DAY","K. Gausman (R)","C. Bassitt (R)","B. Francis (R)","J. Berrios (R)","E. Lucas (L)","K. Gausman (R)","C. Bassitt (R)",POSTPONED,"B. Francis (R)","J. Berrios (R)","E. Lucas (L)","K. Gausman (R)","C. Bassitt (R)","OFF DAY","B. Francis (R)","J. Berrios (R)","E. Lucas (L)","K. Gausman (R)","C. Bassitt (R)","B. Francis (R)"
game,"L2-12 vs BAL","W8-2 vs BAL","L5-9 vs BAL","W3-1 vs BAL","W5-2 vs WSH","W5-3 vs WSH","W4-2 vs WSH",,"L0-5 @ NYM","L2-3 @ NYM","L1-2 @ NYM","W6-2 @ BOS","W6-1 @ BOS","W2-1 @ BOS","L3-4 @ BOS","Fri 7:05pm @ BAL","L4-5 @ BAL","W7-6 @ BAL","L4-8 vs ATL","W6-3 vs ATL","W3-1 vs ATL",,"W3-1 vs SEA","Sat 3:07pm vs SEA","Sun 1:37pm vs SEA","Mon 8:10pm @ HOU","Tue 8:10pm @ HOU","Wed 7:40pm @ HOU"
stats,"1-1 5.16 ERA","2-1 2.49 ERA","0-0 6.00 ERA","2-0 0.77 ERA","2-2 3.13 ERA","1-1 5.16 ERA","2-1 4.70 ERA",,"2-1 2.49 ERA","2-0 0.77 ERA","2-2 3.13 ERA","1-1 5.16 ERA","2-1 4.70 ERA","2-1 2.49 ERA","2-0 0.77 ERA",,"2-2 3.13 ERA","1-1 5.16 ERA","2-1 4.70 ERA","2-1 2.49 ERA","2-0 0.77 ERA",,"2-2 3.13 ERA","1-1 5.16 ERA","2-1 4.70 ERA","2-1 2.49 ERA","2-0 0.77 ERA","2-2 3.13 ERA"

WSH,"M. Gore (L)","OFF DAY","J. Irvin (R)","M. Parker (L)","M. Soroka (R)","T. Williams (R)","M. Gore (L)","OFF DAY","J. Irvin (R)","M. Parker (L)","T. Williams (R)","M. Gore (L)","B. Lord (R)","J. Irvin (R)","OFF DAY","M. Parker (L)","T. Williams (R)","M. Gore (L)","B. Lord (R)","J. Irvin (R)","M. Parker (L)","T. Williams (R)",POSTPONED,"M. Gore (L)","J. Irvin (R)","OFF DAY","M. Parker (L)","T. Williams (R)"
game,"L3-7 vs PHI",,"L6-11 vs PHI","W5-1 vs PHI","L2-5 @ TOR","L3-5 @ TOR","L2-4 @ TOR",,"L4-6 vs ARI","W4-3 vs ARI","W5-4 vs ARI","W6-4 vs LAD","W8-2 vs LAD","L5-6 vs LAD",,"W7-4 @ MIA","L6-7 @ MIA","L4-11 @ MIA","L3-10 @ PIT","W3-0 @ PIT","L1-6 @ PIT","L0-1 @ PIT","Fri 8:40pm @ COL","Sat 4:10pm @ COL","Sun 3:10pm @ COL",,"Tue 6:45pm vs BAL","Wed 6:45pm vs BAL"
stats,"1-2 3.52 ERA",,"1-0 3.91 ERA","2-1 1.85 ERA","0-1 7.20 ERA","1-2 5.95 ERA","1-2 3.52 ERA",,"1-0 3.91 ERA","2-1 1.85 ERA","1-2 5.95 ERA","1-2 3.52 ERA","0-1 4.82 ERA","1-0 3.91 ERA",,"2-1 1.85 ERA","1-2 5.95 ERA","1-2 3.52 ERA","0-1 4.82 ERA","1-0 3.91 ERA","2-1 1.85 ERA","1-2 5.95 ERA",,"1-2 3.52 ERA","1-0 3.91 ERA",,"2-1 1.85 ERA","1-2 5.95 ERA"
WSH,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"B. Lord (R)",---,---,---
game,,,,,,,,,,,,,,,,,,,,,,,,,"Sun 8:10pm @ COL",,,
stats,,,,,,,,,,,,,,,,,,,,,,,,,"0-1 4.82 ERA",,,

