date,Away Team,Away Record,Away Score,Home Team,Home Record,Home Score,Away 1st_x,Home 1st_x,YRFI,away_team,home_team,away_starter,away_hand,home_starter,home_hand,Away 1st_y,Home 1st_y,home_starter_clean,home_era,away_starter_clean,away_era,day_of_week,same_hand
2025-04-05,St. Louis Cardinals,9-11,,Boston Red Sox,11-10,,0.0,0.0,0,St. Louis Cardinals,Boston Red Sox,A. Pallante (R),R,S. Newcomb (L),L,0.0,0.0,S. Newcomb,3.63,A. Pallante,3.22,5,0
2025-04-05,San Diego Padres,7-2,1.0,Chicago Cubs,7-4,7.0,0.0,0.0,0,San Diego Padres,Chicago Cubs,K. Hart (L),L,B. Brown (R),R,3.0,5.0,B. Brown,5.09,K. Hart,6.48,5,0
2025-04-05,Chicago White Sox,2-6,2.0,Detroit Tigers,4-4,7.0,1.0,2.0,1,Chicago White Sox,Detroit Tigers,M. Perez (L),L,J. Jobe (R),R,2.0,0.0,J. Jobe,2.7,M. Perez,3.15,5,0
2025-04-05,Baltimore Orioles,4-5,8.0,Kansas City Royals,3-5,1.0,0.0,0.0,0,Baltimore Orioles,Kansas City Royals,C. Povich (L),L,K. Bubic (L),L,0.0,3.0,K. Bubic,1.88,C. Povich,6.38,5,1
2025-04-05,Cleveland Guardians,3-5,4.0,Los Angeles Angels,5-3,10.0,1.0,3.0,1,Cleveland Guardians,Los Angeles Angels,L. Ortiz (R),R,T. Anderson (L),L,1.0,0.0,T. Anderson,2.08,L. Ortiz,5.48,5,0
2025-04-05,Cincinnati Reds,3-6,11.0,Milwaukee Brewers,4-5,7.0,1.0,0.0,1,Cincinnati Reds,Milwaukee Brewers,C. Spiers (R),R,C. Patrick (R),R,0.0,0.0,C. Patrick,1.76,C. Spiers,4.82,5,1
2025-04-05,Houston Astros,3-5,1.0,Minnesota Twins,3-5,6.0,1.0,0.0,1,Houston Astros,Minnesota Twins,R. Blanco (R),R,C. Paddack (R),R,1.0,3.0,C. Paddack,7.27,R. Blanco,6.48,5,1
2025-04-05,Toronto Blue Jays,5-4,2.0,New York Mets,5-3,3.0,0.0,0.0,0,Toronto Blue Jays,New York Mets,B. Francis (R),R,D. Peterson (L),L,0.0,0.0,D. Peterson,3.27,B. Francis,3.13,5,0
2025-04-05,Los Angeles Dodgers,9-1,3.0,Philadelphia Phillies,6-2,1.0,0.0,1.0,1,Los Angeles Dodgers,Philadelphia Phillies,T. Glasnow (R),R,C. Sanchez (L),L,2.0,0.0,C. Sanchez,2.96,T. Glasnow,4.85,5,0
2025-04-05,New York Yankees,6-2,10.0,Pittsburgh Pirates,2-7,4.0,0.0,0.0,0,New York Yankees,Pittsburgh Pirates,W. Warren (R),R,A. Heaney (L),L,1.0,0.0,A. Heaney,2.13,W. Warren,5.17,5,0
2025-04-05,Seattle Mariners,3-6,1.0,San Francisco Giants,7-1,4.0,0.0,0.0,0,Seattle Mariners,San Francisco Giants,B. Woo (R),R,J. Hicks (R),R,1.0,0.0,J. Hicks,6.04,B. Woo,3.12,5,1
2025-04-05,Tampa Bay Rays,4-4,4.0,Texas Rangers,7-2,6.0,0.0,4.0,1,Tampa Bay Rays,Texas Rangers,D. Rasmussen (R),R,K. Rocker (R),R,0.0,0.0,K. Rocker,6.38,D. Rasmussen,0.87,5,1
2025-04-05,Arizona Diamondbacks,5-4,3.0,Washington Nationals,2-6,4.0,0.0,3.0,1,Arizona Diamondbacks,Washington Nationals,C. Burnes (R),R,T. Williams (R),R,1.0,2.0,T. Williams,5.95,C. Burnes,4.64,5,1
2025-04-06,Miami Marlins,8-11,,Atlanta Braves,6-13,,0.0,0.0,0,Miami Marlins,Atlanta Braves,C. Quantrill (R),R,A. Smith-Shawver (R),R,2.0,0.0,A. Smith-Shawver,4.61,C. Quantrill,5.79,6,1
2025-04-06,St. Louis Cardinals,4-4,4.0,Boston Red Sox,5-4,5.0,0.0,0.0,0,St. Louis Cardinals,Boston Red Sox,A. Pallante (R),R,S. Newcomb (L),L,0.0,0.0,S. Newcomb,3.63,A. Pallante,3.22,6,0
2025-04-06,St. Louis Cardinals,4-5,7.0,Boston Red Sox,6-4,18.0,1.0,1.0,1,St. Louis Cardinals,Boston Red Sox,A. Pallante (R),R,S. Newcomb (L),L,0.0,0.0,S. Newcomb,3.63,A. Pallante,3.22,6,0
2025-04-06,San Diego Padres,8-2,8.0,Chicago Cubs,7-5,7.0,3.0,5.0,1,San Diego Padres,Chicago Cubs,K. Hart (L),L,B. Brown (R),R,3.0,5.0,B. Brown,5.09,K. Hart,6.48,6,0
2025-04-06,Chicago White Sox,2-7,3.0,Detroit Tigers,5-4,4.0,2.0,0.0,1,Chicago White Sox,Detroit Tigers,M. Perez (L),L,J. Jobe (R),R,2.0,0.0,J. Jobe,2.7,M. Perez,3.15,6,0
2025-04-06,Baltimore Orioles,4-6,1.0,Kansas City Royals,4-5,4.0,0.0,3.0,1,Baltimore Orioles,Kansas City Royals,C. Povich (L),L,K. Bubic (L),L,0.0,3.0,K. Bubic,1.88,C. Povich,6.38,6,1
2025-04-06,Cleveland Guardians,3-6,2.0,Los Angeles Angels,6-3,6.0,1.0,0.0,1,Cleveland Guardians,Los Angeles Angels,L. Ortiz (R),R,T. Anderson (L),L,1.0,0.0,T. Anderson,2.08,L. Ortiz,5.48,6,0
2025-04-06,Cincinnati Reds,3-7,2.0,Milwaukee Brewers,5-5,8.0,0.0,0.0,0,Cincinnati Reds,Milwaukee Brewers,C. Spiers (R),R,C. Patrick (R),R,0.0,0.0,C. Patrick,1.76,C. Spiers,4.82,6,1
2025-04-06,Houston Astros,4-5,9.0,Minnesota Twins,3-6,7.0,1.0,3.0,1,Houston Astros,Minnesota Twins,R. Blanco (R),R,C. Paddack (R),R,1.0,3.0,C. Paddack,7.27,R. Blanco,6.48,6,1
2025-04-06,Toronto Blue Jays,5-5,1.0,New York Mets,6-3,2.0,0.0,0.0,0,Toronto Blue Jays,New York Mets,B. Francis (R),R,D. Peterson (L),L,0.0,0.0,D. Peterson,3.27,B. Francis,3.13,6,0
2025-04-06,Los Angeles Dodgers,9-2,7.0,Philadelphia Phillies,7-2,8.0,2.0,0.0,1,Los Angeles Dodgers,Philadelphia Phillies,T. Glasnow (R),R,C. Sanchez (L),L,2.0,0.0,C. Sanchez,2.96,T. Glasnow,4.85,6,0
2025-04-06,New York Yankees,6-3,4.0,Pittsburgh Pirates,3-7,5.0,1.0,0.0,1,New York Yankees,Pittsburgh Pirates,W. Warren (R),R,A. Heaney (L),L,1.0,0.0,A. Heaney,2.13,W. Warren,5.17,6,0
2025-04-06,Seattle Mariners,3-7,4.0,San Francisco Giants,8-1,5.0,1.0,0.0,1,Seattle Mariners,San Francisco Giants,B. Woo (R),R,J. Hicks (R),R,1.0,0.0,J. Hicks,6.04,B. Woo,3.12,6,1
2025-04-06,Tampa Bay Rays,4-5,3.0,Texas Rangers,8-2,4.0,0.0,0.0,0,Tampa Bay Rays,Texas Rangers,D. Rasmussen (R),R,K. Rocker (R),R,0.0,0.0,K. Rocker,6.38,D. Rasmussen,0.87,6,1
2025-04-06,Arizona Diamondbacks,5-5,4.0,Washington Nationals,3-6,5.0,1.0,2.0,1,Arizona Diamondbacks,Washington Nationals,C. Burnes (R),R,T. Williams (R),R,1.0,2.0,T. Williams,5.95,C. Burnes,4.64,6,1
2025-04-07,Baltimore Orioles,5-6,5.0,Arizona Diamondbacks,5-6,1.0,1.0,0.0,1,Baltimore Orioles,Arizona Diamondbacks,D. Kremer (R),R,B. Pfaadt (R),R,0.0,1.0,B. Pfaadt,3.04,D. Kremer,6.41,0,1
2025-04-07,Toronto Blue Jays,6-5,6.0,Boston Red Sox,6-5,2.0,0.0,0.0,0,Toronto Blue Jays,Boston Red Sox,C. Bassitt (R),R,W. Buehler (R),R,0.0,0.0,W. Buehler,5.23,C. Bassitt,0.77,0,1
2025-04-07,Texas Rangers,8-3,0.0,Chicago Cubs,8-5,7.0,0.0,0.0,0,Texas Rangers,Chicago Cubs,T. Mahle (R),R,S. Imanaga (L),L,1.0,0.0,S. Imanaga,2.22,T. Mahle,0.92,0,0
2025-04-07,New York Yankees,6-4,2.0,Detroit Tigers,6-4,6.0,0.0,0.0,0,New York Yankees,Detroit Tigers,M. Fried (L),L,J. Flaherty (R),R,0.0,0.0,J. Flaherty,2.53,M. Fried,1.88,0,0
2025-04-07,Minnesota Twins,3-7,2.0,Kansas City Royals,5-5,4.0,0.0,1.0,1,Minnesota Twins,Kansas City Royals,B. Ober (R),R,M. Wacha (R),R,0.0,1.0,M. Wacha,4.35,B. Ober,6.16,0,1
2025-04-07,Miami Marlins,5-5,0.0,New York Mets,7-3,2.0,0.0,0.0,0,Miami Marlins,New York Mets,M. Meyer (R),R,T. Megill (R),R,0.0,0.0,T. Megill,1.4,M. Meyer,2.63,0,1
2025-04-07,St. Louis Cardinals,4-6,4.0,Pittsburgh Pirates,4-7,8.0,0.0,1.0,1,St. Louis Cardinals,Pittsburgh Pirates,E. Fedde (R),R,M. Keller (R),R,0.0,0.0,M. Keller,4.3,E. Fedde,3.43,0,1
2025-04-07,Cincinnati Reds,4-7,2.0,San Francisco Giants,8-2,0.0,0.0,0.0,0,Cincinnati Reds,San Francisco Giants,N. Martinez (R),R,J. Verlander (R),R,0.0,0.0,J. Verlander,6.75,N. Martinez,6.0,0,1
2025-04-07,Houston Astros,4-6,3.0,Seattle Mariners,4-7,4.0,0.0,0.0,0,Houston Astros,Seattle Mariners,H. Brown (R),R,L. Castillo (R),R,0.0,0.0,L. Castillo,7.71,H. Brown,1.5,0,1
2025-04-07,Los Angeles Dodgers,9-3,4.0,Washington Nationals,4-6,6.0,0.0,0.0,0,Los Angeles Dodgers,Washington Nationals,L. Knack (R),R,J. Irvin (R),R,4.0,3.0,J. Irvin,3.91,L. Knack,7.27,0,1
2025-04-08,Baltimore Orioles,5-7,3.0,Arizona Diamondbacks,6-6,4.0,2.0,1.0,1,Baltimore Orioles,Arizona Diamondbacks,D. Kremer (R),R,B. Pfaadt (R),R,0.0,1.0,B. Pfaadt,3.04,D. Kremer,6.41,1,1
2025-04-08,Philadelphia Phillies,7-3,5.0,Atlanta Braves,2-8,7.0,1.0,0.0,1,Philadelphia Phillies,Atlanta Braves,J. Luzardo (L),L,S. Schwellenbach (R),R,0.0,1.0,S. Schwellenbach,2.55,J. Luzardo,2.31,1,0
2025-04-08,Toronto Blue Jays,7-5,6.0,Boston Red Sox,6-6,1.0,0.0,0.0,0,Toronto Blue Jays,Boston Red Sox,C. Bassitt (R),R,W. Buehler (R),R,0.0,0.0,W. Buehler,5.23,C. Bassitt,0.77,1,1
2025-04-08,Texas Rangers,8-4,6.0,Chicago Cubs,9-5,10.0,0.0,0.0,0,Texas Rangers,Chicago Cubs,T. Mahle (R),R,S. Imanaga (L),L,1.0,0.0,S. Imanaga,2.22,T. Mahle,0.92,1,0
2025-04-08,Chicago White Sox,2-8,0.0,Cleveland Guardians,4-6,1.0,0.0,0.0,0,Chicago White Sox,Cleveland Guardians,J. Cannon (R),R,G. Williams (R),R,1.0,2.0,G. Williams,4.58,J. Cannon,4.42,1,1
2025-04-08,Milwaukee Brewers,6-5,7.0,Colorado Rockies,2-8,1.0,0.0,0.0,0,Milwaukee Brewers,Colorado Rockies,Q. Priester (R),R,R. Feltner (R),R,0.0,1.0,R. Feltner,4.82,Q. Priester,0.9,1,1
2025-04-08,New York Yankees,6-5,0.0,Detroit Tigers,7-4,5.0,0.0,0.0,0,New York Yankees,Detroit Tigers,M. Fried (L),L,J. Flaherty (R),R,0.0,0.0,J. Flaherty,2.53,M. Fried,1.88,1,0
2025-04-08,Minnesota Twins,3-8,1.0,Kansas City Royals,6-5,2.0,0.0,0.0,0,Minnesota Twins,Kansas City Royals,B. Ober (R),R,M. Wacha (R),R,0.0,1.0,M. Wacha,4.35,B. Ober,6.16,1,1
2025-04-08,Miami Marlins,5-6,5.0,New York Mets,8-3,10.0,2.0,1.0,1,Miami Marlins,New York Mets,M. Meyer (R),R,T. Megill (R),R,0.0,0.0,T. Megill,1.4,M. Meyer,2.63,1,1
2025-04-08,St. Louis Cardinals,5-6,5.0,Pittsburgh Pirates,4-8,3.0,0.0,0.0,0,St. Louis Cardinals,Pittsburgh Pirates,E. Fedde (R),R,M. Keller (R),R,0.0,0.0,M. Keller,4.3,E. Fedde,3.43,1,1
2025-04-08,Cincinnati Reds,5-7,1.0,San Francisco Giants,8-3,0.0,0.0,0.0,0,Cincinnati Reds,San Francisco Giants,N. Martinez (R),R,J. Verlander (R),R,0.0,0.0,J. Verlander,6.75,N. Martinez,6.0,1,1
2025-04-08,Houston Astros,5-6,2.0,Seattle Mariners,4-8,1.0,0.0,0.0,0,Houston Astros,Seattle Mariners,H. Brown (R),R,L. Castillo (R),R,0.0,0.0,L. Castillo,7.71,H. Brown,1.5,1,1
2025-04-08,Los Angeles Angels,7-3,4.0,Tampa Bay Rays,4-6,3.0,0.0,0.0,0,Los Angeles Angels,Tampa Bay Rays,J. Soriano (R),R,Z. Littell (R),R,1.0,0.0,Z. Littell,5.48,J. Soriano,3.16,1,1
2025-04-08,Los Angeles Dodgers,9-4,2.0,Washington Nationals,5-6,8.0,0.0,2.0,1,Los Angeles Dodgers,Washington Nationals,L. Knack (R),R,J. Irvin (R),R,4.0,3.0,J. Irvin,3.91,L. Knack,7.27,1,1
2025-04-09,Baltimore Orioles,5-8,0.0,Arizona Diamondbacks,7-6,9.0,0.0,1.0,1,Baltimore Orioles,Arizona Diamondbacks,D. Kremer (R),R,B. Pfaadt (R),R,0.0,1.0,B. Pfaadt,3.04,D. Kremer,6.41,2,1
2025-04-09,Philadelphia Phillies,8-3,4.0,Atlanta Braves,2-9,3.0,0.0,0.0,0,Philadelphia Phillies,Atlanta Braves,J. Luzardo (L),L,S. Schwellenbach (R),R,0.0,1.0,S. Schwellenbach,2.55,J. Luzardo,2.31,2,0
2025-04-09,Toronto Blue Jays,8-5,2.0,Boston Red Sox,6-7,1.0,1.0,1.0,1,Toronto Blue Jays,Boston Red Sox,C. Bassitt (R),R,W. Buehler (R),R,0.0,0.0,W. Buehler,5.23,C. Bassitt,0.77,2,1
2025-04-09,Texas Rangers,9-4,6.0,Chicago Cubs,9-6,2.0,1.0,0.0,1,Texas Rangers,Chicago Cubs,T. Mahle (R),R,S. Imanaga (L),L,1.0,0.0,S. Imanaga,2.22,T. Mahle,0.92,2,0
2025-04-09,Chicago White Sox,2-9,2.0,Cleveland Guardians,5-6,3.0,1.0,2.0,1,Chicago White Sox,Cleveland Guardians,J. Cannon (R),R,G. Williams (R),R,1.0,2.0,G. Williams,4.58,J. Cannon,4.42,2,1
2025-04-09,Milwaukee Brewers,7-5,17.0,Colorado Rockies,2-9,2.0,0.0,0.0,0,Milwaukee Brewers,Colorado Rockies,Q. Priester (R),R,R. Feltner (R),R,0.0,1.0,R. Feltner,4.82,Q. Priester,0.9,2,1
2025-04-09,New York Yankees,7-5,4.0,Detroit Tigers,7-5,3.0,0.0,0.0,0,New York Yankees,Detroit Tigers,M. Fried (L),L,J. Flaherty (R),R,0.0,0.0,J. Flaherty,2.53,M. Fried,1.88,2,0
2025-04-09,Minnesota Twins,4-8,4.0,Kansas City Royals,6-6,0.0,0.0,0.0,0,Minnesota Twins,Kansas City Royals,B. Ober (R),R,M. Wacha (R),R,0.0,1.0,M. Wacha,4.35,B. Ober,6.16,2,1
2025-04-09,Miami Marlins,6-6,5.0,New York Mets,8-4,0.0,0.0,0.0,0,Miami Marlins,New York Mets,M. Meyer (R),R,T. Megill (R),R,0.0,0.0,T. Megill,1.4,M. Meyer,2.63,2,1
2025-04-09,St. Louis Cardinals,5-7,1.0,Pittsburgh Pirates,5-8,2.0,0.0,0.0,0,St. Louis Cardinals,Pittsburgh Pirates,E. Fedde (R),R,M. Keller (R),R,0.0,0.0,M. Keller,4.3,E. Fedde,3.43,2,1
2025-04-09,Cincinnati Reds,5-8,6.0,San Francisco Giants,9-3,8.0,0.0,0.0,0,Cincinnati Reds,San Francisco Giants,N. Martinez (R),R,J. Verlander (R),R,0.0,0.0,J. Verlander,6.75,N. Martinez,6.0,2,1
2025-04-09,Houston Astros,5-7,6.0,Seattle Mariners,5-8,7.0,0.0,0.0,0,Houston Astros,Seattle Mariners,H. Brown (R),R,L. Castillo (R),R,0.0,0.0,L. Castillo,7.71,H. Brown,1.5,2,1
2025-04-09,Los Angeles Angels,7-4,4.0,Tampa Bay Rays,5-6,5.0,0.0,4.0,1,Los Angeles Angels,Tampa Bay Rays,J. Soriano (R),R,Z. Littell (R),R,1.0,0.0,Z. Littell,5.48,J. Soriano,3.16,2,1
2025-04-09,Los Angeles Dodgers,10-4,6.0,Washington Nationals,5-7,5.0,4.0,3.0,1,Los Angeles Dodgers,Washington Nationals,L. Knack (R),R,J. Irvin (R),R,4.0,3.0,J. Irvin,3.91,L. Knack,7.27,2,1
2025-04-10,Philadelphia Phillies,8-4,2.0,Atlanta Braves,3-9,4.0,0.0,1.0,1,Philadelphia Phillies,Atlanta Braves,J. Luzardo (L),L,S. Schwellenbach (R),R,0.0,1.0,S. Schwellenbach,2.55,J. Luzardo,2.31,3,0
2025-04-10,Toronto Blue Jays,8-6,3.0,Boston Red Sox,7-7,4.0,0.0,0.0,0,Toronto Blue Jays,Boston Red Sox,C. Bassitt (R),R,W. Buehler (R),R,0.0,0.0,W. Buehler,5.23,C. Bassitt,0.77,3,1
2025-04-10,Chicago White Sox,2-10,1.0,Cleveland Guardians,6-6,6.0,1.0,2.0,1,Chicago White Sox,Cleveland Guardians,J. Cannon (R),R,G. Williams (R),R,1.0,2.0,G. Williams,4.58,J. Cannon,4.42,3,1
2025-04-10,Milwaukee Brewers,7-6,2.0,Colorado Rockies,3-9,7.0,0.0,1.0,1,Milwaukee Brewers,Colorado Rockies,Q. Priester (R),R,R. Feltner (R),R,0.0,1.0,R. Feltner,4.82,Q. Priester,0.9,3,1
2025-04-10,Minnesota Twins,4-9,2.0,Kansas City Royals,7-6,3.0,0.0,1.0,1,Minnesota Twins,Kansas City Royals,B. Ober (R),R,M. Wacha (R),R,0.0,1.0,M. Wacha,4.35,B. Ober,6.16,3,1
2025-04-10,Los Angeles Angels,8-4,11.0,Tampa Bay Rays,5-7,1.0,1.0,0.0,1,Los Angeles Angels,Tampa Bay Rays,J. Soriano (R),R,Z. Littell (R),R,1.0,0.0,Z. Littell,5.48,J. Soriano,3.16,3,1
2025-04-11,Milwaukee Brewers,8-6,7.0,Arizona Diamondbacks,7-7,0.0,0.0,0.0,0,Milwaukee Brewers,Arizona Diamondbacks,F. Peralta (R),R,Z. Gallen (R),R,2.0,0.0,Z. Gallen,4.64,F. Peralta,1.91,4,1
2025-04-11,Toronto Blue Jays,12-8,,Baltimore Orioles,8-11,,0.0,0.0,0,Toronto Blue Jays,Baltimore Orioles,J. Berrios (R),R,C. Povich (L),L,0.0,1.0,C. Povich,6.38,J. Berrios,5.16,4,0
2025-04-11,Boston Red Sox,7-8,1.0,Chicago White Sox,3-10,11.0,0.0,0.0,0,Boston Red Sox,Chicago White Sox,G. Crochet (L),L,S. Smith (R),R,0.0,0.0,S. Smith,2.04,G. Crochet,1.38,4,0
2025-04-11,Pittsburgh Pirates,5-9,3.0,Cincinnati Reds,6-8,5.0,0.0,3.0,1,Pittsburgh Pirates,Cincinnati Reds,C. Mlodzinski (R),R,H. Greene (R),R,0.0,0.0,H. Greene,0.98,C. Mlodzinski,7.41,4,1
2025-04-11,Kansas City Royals,7-7,0.0,Cleveland Guardians,7-6,7.0,0.0,0.0,0,Kansas City Royals,Cleveland Guardians,C. Ragans (L),L,B. Lively (R),R,0.0,0.0,B. Lively,4.87,C. Ragans,3.58,4,0
2025-04-11,Los Angeles Angels,8-5,3.0,Houston Astros,6-7,14.0,0.0,0.0,0,Los Angeles Angels,Houston Astros,K. Hendricks (R),R,H. Wesneski (R),R,1.0,0.0,H. Wesneski,4.0,K. Hendricks,4.2,4,1
2025-04-11,Chicago Cubs,9-7,0.0,Los Angeles Dodgers,11-4,3.0,0.0,0.0,0,Chicago Cubs,Los Angeles Dodgers,C. Rea (R),R,T. Glasnow (R),R,0.0,0.0,T. Glasnow,4.85,C. Rea,1.32,4,1
2025-04-11,Washington Nationals,6-7,7.0,Miami Marlins,6-7,4.0,0.0,0.0,0,Washington Nationals,Miami Marlins,M. Gore (L),L,C. Quantrill (R),R,0.0,0.0,C. Quantrill,5.79,M. Gore,3.52,4,0
2025-04-11,Detroit Tigers,8-5,7.0,Minnesota Twins,4-10,6.0,0.0,0.0,0,Detroit Tigers,Minnesota Twins,C. Mize (R),R,S. Woods Richardson (R),R,0.0,1.0,S. Woods Richardson,4.3,C. Mize,2.6,4,1
2025-04-11,San Francisco Giants,10-3,9.0,New York Yankees,7-6,1.0,5.0,0.0,1,San Francisco Giants,New York Yankees,L. Webb (R),R,C. Rodon (L),L,0.0,1.0,C. Rodon,4.34,L. Webb,2.4,4,0
2025-04-11,Colorado Rockies,3-10,0.0,San Diego Padres,11-3,8.0,0.0,0.0,0,Colorado Rockies,San Diego Padres,K. Freeland (L),L,M. King (R),R,0.0,4.0,M. King,2.42,K. Freeland,4.88,4,0
2025-04-11,Texas Rangers,9-5,3.0,Seattle Mariners,6-8,5.0,0.0,1.0,1,Texas Rangers,Seattle Mariners,N. Eovaldi (R),R,L. Gilbert (R),R,0.0,2.0,L. Gilbert,2.38,N. Eovaldi,2.55,4,1
2025-04-11,Philadelphia Phillies,8-5,0.0,St. Louis Cardinals,6-7,2.0,0.0,0.0,0,Philadelphia Phillies,St. Louis Cardinals,Z. Wheeler (R),R,M. Liberatore (L),L,0.0,0.0,M. Liberatore,3.93,Z. Wheeler,3.73,4,0
2025-04-11,Atlanta Braves,3-10,3.0,Tampa Bay Rays,6-7,6.0,1.0,0.0,1,Atlanta Braves,Tampa Bay Rays,C. Sale (L),L,J. Boyle (R),R,0.0,2.0,J. Boyle,0.0,C. Sale,6.63,4,0
2025-04-12,Milwaukee Brewers,8-7,4.0,Arizona Diamondbacks,8-7,5.0,0.0,0.0,0,Milwaukee Brewers,Arizona Diamondbacks,F. Peralta (R),R,Z. Gallen (R),R,2.0,0.0,Z. Gallen,4.64,F. Peralta,1.91,5,1
2025-04-12,Toronto Blue Jays,8-7,4.0,Baltimore Orioles,6-8,5.0,1.0,0.0,1,Toronto Blue Jays,Baltimore Orioles,J. Berrios (R),R,C. Povich (L),L,0.0,1.0,C. Povich,6.38,J. Berrios,5.16,5,0
2025-04-12,Boston Red Sox,7-9,2.0,Chicago White Sox,4-10,3.0,0.0,0.0,0,Boston Red Sox,Chicago White Sox,G. Crochet (L),L,S. Smith (R),R,0.0,0.0,S. Smith,2.04,G. Crochet,1.38,5,0
2025-04-12,Pittsburgh Pirates,5-10,2.0,Cincinnati Reds,7-8,5.0,0.0,0.0,0,Pittsburgh Pirates,Cincinnati Reds,C. Mlodzinski (R),R,H. Greene (R),R,0.0,0.0,H. Greene,0.98,C. Mlodzinski,7.41,5,1
2025-04-12,Kansas City Royals,7-8,3.0,Cleveland Guardians,8-6,6.0,0.0,0.0,0,Kansas City Royals,Cleveland Guardians,C. Ragans (L),L,B. Lively (R),R,0.0,0.0,B. Lively,4.87,C. Ragans,3.58,5,0
2025-04-12,Los Angeles Angels,9-5,4.0,Houston Astros,6-8,1.0,2.0,0.0,1,Los Angeles Angels,Houston Astros,K. Hendricks (R),R,H. Wesneski (R),R,1.0,0.0,H. Wesneski,4.0,K. Hendricks,4.2,5,1
2025-04-12,Chicago Cubs,10-7,16.0,Los Angeles Dodgers,11-5,0.0,0.0,0.0,0,Chicago Cubs,Los Angeles Dodgers,C. Rea (R),R,T. Glasnow (R),R,0.0,0.0,T. Glasnow,4.85,C. Rea,1.32,5,1
2025-04-12,Washington Nationals,6-8,6.0,Miami Marlins,7-7,7.0,0.0,0.0,0,Washington Nationals,Miami Marlins,M. Gore (L),L,C. Quantrill (R),R,0.0,0.0,C. Quantrill,5.79,M. Gore,3.52,5,0
2025-04-12,Detroit Tigers,9-5,4.0,Minnesota Twins,4-11,0.0,1.0,0.0,1,Detroit Tigers,Minnesota Twins,C. Mize (R),R,S. Woods Richardson (R),R,0.0,1.0,S. Woods Richardson,4.3,C. Mize,2.6,5,1
2025-04-12,San Francisco Giants,10-4,4.0,New York Yankees,8-6,8.0,0.0,2.0,1,San Francisco Giants,New York Yankees,L. Webb (R),R,C. Rodon (L),L,0.0,1.0,C. Rodon,4.34,L. Webb,2.4,5,0
2025-04-12,Colorado Rockies,3-11,0.0,San Diego Padres,12-3,2.0,0.0,1.0,1,Colorado Rockies,San Diego Padres,K. Freeland (L),L,M. King (R),R,0.0,4.0,M. King,2.42,K. Freeland,4.88,5,0
2025-04-12,Texas Rangers,9-6,2.0,Seattle Mariners,7-8,9.0,1.0,0.0,1,Texas Rangers,Seattle Mariners,N. Eovaldi (R),R,L. Gilbert (R),R,0.0,2.0,L. Gilbert,2.38,N. Eovaldi,2.55,5,1
2025-04-12,Philadelphia Phillies,9-5,4.0,St. Louis Cardinals,6-8,1.0,2.0,0.0,1,Philadelphia Phillies,St. Louis Cardinals,Z. Wheeler (R),R,M. Liberatore (L),L,0.0,0.0,M. Liberatore,3.93,Z. Wheeler,3.73,5,0
2025-04-12,Atlanta Braves,4-10,5.0,Tampa Bay Rays,6-8,4.0,0.0,1.0,1,Atlanta Braves,Tampa Bay Rays,C. Sale (L),L,J. Boyle (R),R,0.0,2.0,J. Boyle,0.0,C. Sale,6.63,5,0
2025-04-13,Milwaukee Brewers,8-8,2.0,Arizona Diamondbacks,9-7,5.0,2.0,0.0,1,Milwaukee Brewers,Arizona Diamondbacks,F. Peralta (R),R,Z. Gallen (R),R,2.0,0.0,Z. Gallen,4.64,F. Peralta,1.91,6,1
2025-04-13,Toronto Blue Jays,9-7,7.0,Baltimore Orioles,6-9,6.0,0.0,1.0,1,Toronto Blue Jays,Baltimore Orioles,J. Berrios (R),R,C. Povich (L),L,0.0,1.0,C. Povich,6.38,J. Berrios,5.16,6,0
2025-04-13,Boston Red Sox,8-9,3.0,Chicago White Sox,4-11,1.0,0.0,0.0,0,Boston Red Sox,Chicago White Sox,G. Crochet (L),L,S. Smith (R),R,0.0,0.0,S. Smith,2.04,G. Crochet,1.38,6,0
2025-04-13,Pittsburgh Pirates,5-11,0.0,Cincinnati Reds,8-8,4.0,0.0,0.0,0,Pittsburgh Pirates,Cincinnati Reds,C. Mlodzinski (R),R,H. Greene (R),R,0.0,0.0,H. Greene,0.98,C. Mlodzinski,7.41,6,1
2025-04-13,Kansas City Royals,8-8,4.0,Cleveland Guardians,8-7,2.0,0.0,0.0,0,Kansas City Royals,Cleveland Guardians,C. Ragans (L),L,B. Lively (R),R,0.0,0.0,B. Lively,4.87,C. Ragans,3.58,6,0
2025-04-13,Los Angeles Angels,9-6,3.0,Houston Astros,7-8,7.0,1.0,0.0,1,Los Angeles Angels,Houston Astros,K. Hendricks (R),R,H. Wesneski (R),R,1.0,0.0,H. Wesneski,4.0,K. Hendricks,4.2,6,1
2025-04-13,Chicago Cubs,11-7,4.0,Los Angeles Dodgers,11-6,2.0,0.0,0.0,0,Chicago Cubs,Los Angeles Dodgers,C. Rea (R),R,T. Glasnow (R),R,0.0,0.0,T. Glasnow,4.85,C. Rea,1.32,6,1
2025-04-13,Washington Nationals,6-9,4.0,Miami Marlins,8-7,11.0,0.0,0.0,0,Washington Nationals,Miami Marlins,M. Gore (L),L,C. Quantrill (R),R,0.0,0.0,C. Quantrill,5.79,M. Gore,3.52,6,0
