Game Date,Away Team,Away Record,Away Score,Home Team,Home Record,Home Score,Away 1st,Home 1st,YRFI
2025-03-31,Detroit Tigers,1-3,9.0,Seattle Mariners,2-3,6.0,6.0,0.0,1
2025-03-31,Los Angeles Angels,3-1,5.0,St. Louis Cardinals,3-1,4.0,0.0,1.0,1
2025-03-31,Pittsburgh Pirates,1-4,1.0,Tampa Bay Rays,3-1,6.0,0.0,0.0,0
2025-03-31,Washington Nationals,1-3,2.0,Toronto Blue Jays,3-2,5.0,0.0,0.0,0
2025-04-01,Chicago Cubs,4-4,7.0,Athletics,2-4,4.0,3.0,2.0,1
2025-04-01,Minnesota Twins,1-4,8.0,Chicago White Sox,2-3,3.0,0.0,0.0,0
2025-04-01,Texas Rangers,4-2,1.0,Cincinnati Reds,2-3,0.0,1.0,0.0,1
2025-04-01,San Francisco Giants,4-1,3.0,Houston Astros,2-3,1.0,0.0,0.0,0
2025-04-01,Atlanta Braves,0-6,1.0,Los Angeles Dodgers,7-0,3.0,0.0,0.0,0
2025-04-01,New York Mets,2-3,2.0,Miami Marlins,4-2,4.0,0.0,2.0,1
2025-04-01,Kansas City Royals,2-3,0.0,Milwaukee Brewers,1-4,5.0,0.0,0.0,0
2025-04-01,Arizona Diamondbacks,3-2,7.0,New York Yankees,3-1,5.0,0.0,0.0,0
2025-04-01,Cleveland Guardians,2-3,0.0,San Diego Padres,6-0,7.0,0.0,0.0,0
2025-04-01,Detroit Tigers,2-3,4.0,Seattle Mariners,2-4,1.0,2.0,0.0,1
2025-04-01,Los Angeles Angels,4-1,9.0,St. Louis Cardinals,3-2,7.0,0.0,0.0,0
2025-04-01,Pittsburgh Pirates,1-5,0.0,Tampa Bay Rays,4-1,7.0,0.0,3.0,1
2025-04-01,Washington Nationals,1-4,3.0,Toronto Blue Jays,4-2,5.0,0.0,0.0,0
2025-04-02,Chicago Cubs,5-4,10.0,Athletics,2-5,2.0,0.0,0.0,0
2025-04-02,Boston Red Sox,2-4,3.0,Baltimore Orioles,3-3,0.0,0.0,0.0,0
2025-04-02,Minnesota Twins,2-4,6.0,Chicago White Sox,2-4,1.0,1.0,0.0,1
2025-04-02,Texas Rangers,5-2,1.0,Cincinnati Reds,2-4,0.0,0.0,0.0,0
2025-04-02,San Francisco Giants,5-1,6.0,Houston Astros,2-4,3.0,2.0,0.0,1
2025-04-02,Atlanta Braves,0-7,5.0,Los Angeles Dodgers,8-0,6.0,2.0,0.0,1
2025-04-02,New York Mets,3-3,6.0,Miami Marlins,4-3,5.0,1.0,0.0,1
2025-04-02,Kansas City Royals,2-4,2.0,Milwaukee Brewers,2-4,3.0,0.0,1.0,1
2025-04-02,Arizona Diamondbacks,4-2,4.0,New York Yankees,3-2,3.0,2.0,0.0,1
2025-04-02,Colorado Rockies,1-4,1.0,Philadelphia Phillies,4-1,5.0,0.0,0.0,0
2025-04-02,Cleveland Guardians,2-4,2.0,San Diego Padres,7-0,5.0,0.0,0.0,0
2025-04-02,Detroit Tigers,2-4,2.0,Seattle Mariners,3-4,3.0,0.0,0.0,0
2025-04-02,Los Angeles Angels,4-2,5.0,St. Louis Cardinals,4-2,12.0,1.0,0.0,1
2025-04-02,Pittsburgh Pirates,2-5,4.0,Tampa Bay Rays,4-2,2.0,0.0,0.0,0
2025-04-02,Washington Nationals,1-5,2.0,Toronto Blue Jays,5-2,4.0,0.0,1.0,1
2025-04-03,Boston Red Sox,3-4,8.0,Baltimore Orioles,3-4,4.0,2.0,1.0,1
2025-04-03,Cincinnati Reds,2-5,0.0,Milwaukee Brewers,3-4,1.0,0.0,0.0,0
2025-04-03,Houston Astros,3-4,5.0,Minnesota Twins,2-5,2.0,0.0,2.0,1
2025-04-03,Arizona Diamondbacks,4-3,7.0,New York Yankees,4-2,9.0,0.0,4.0,1
2025-04-03,Colorado Rockies,1-5,1.0,Philadelphia Phillies,5-1,3.0,0.0,0.0,0
2025-04-04,Miami Marlins,4-4,0.0,Atlanta Braves,1-7,10.0,0.0,0.0,0
2025-04-04,St. Louis Cardinals,4-3,9.0,Boston Red Sox,4-4,13.0,0.0,5.0,1
2025-04-04,San Diego Padres,7-1,1.0,Chicago Cubs,6-4,3.0,0.0,1.0,1
2025-04-04,Athletics,3-5,6.0,Colorado Rockies,1-6,3.0,1.0,1.0,1
2025-04-04,Chicago White Sox,2-5,4.0,Detroit Tigers,3-4,7.0,0.0,1.0,1
2025-04-04,Baltimore Orioles,3-5,2.0,Kansas City Royals,3-4,8.0,0.0,1.0,1
2025-04-04,Cleveland Guardians,3-4,8.0,Los Angeles Angels,4-3,6.0,1.0,1.0,1
2025-04-04,Cincinnati Reds,2-6,2.0,Milwaukee Brewers,4-4,3.0,0.0,0.0,0
2025-04-04,Toronto Blue Jays,5-3,0.0,New York Mets,4-3,5.0,0.0,2.0,1
2025-04-04,Los Angeles Dodgers,8-1,2.0,Philadelphia Phillies,6-1,3.0,0.0,1.0,1
2025-04-04,New York Yankees,5-2,9.0,Pittsburgh Pirates,2-6,4.0,0.0,0.0,0
2025-04-04,Seattle Mariners,3-5,9.0,San Francisco Giants,6-1,10.0,1.0,1.0,1
2025-04-04,Tampa Bay Rays,4-3,2.0,Texas Rangers,6-2,5.0,0.0,0.0,0
2025-04-04,Arizona Diamondbacks,5-3,6.0,Washington Nationals,1-6,4.0,1.0,3.0,1
2025-04-05,Miami Marlins,5-4,4.0,Atlanta Braves,1-8,0.0,2.0,0.0,1
2025-04-05,St. Louis Cardinals,9-11,,Boston Red Sox,11-10,,0.0,0.0,0
2025-04-05,San Diego Padres,7-2,1.0,Chicago Cubs,7-4,7.0,0.0,0.0,0
2025-04-05,Athletics,4-5,7.0,Colorado Rockies,1-7,4.0,0.0,0.0,0
2025-04-05,Chicago White Sox,2-6,2.0,Detroit Tigers,4-4,7.0,1.0,2.0,1
2025-04-05,Baltimore Orioles,4-5,8.0,Kansas City Royals,3-5,1.0,0.0,0.0,0
2025-04-05,Cleveland Guardians,3-5,4.0,Los Angeles Angels,5-3,10.0,1.0,3.0,1
2025-04-05,Cincinnati Reds,3-6,11.0,Milwaukee Brewers,4-5,7.0,1.0,0.0,1
2025-04-05,Houston Astros,3-5,1.0,Minnesota Twins,3-5,6.0,1.0,0.0,1
2025-04-05,Toronto Blue Jays,5-4,2.0,New York Mets,5-3,3.0,0.0,0.0,0
2025-04-05,Los Angeles Dodgers,9-1,3.0,Philadelphia Phillies,6-2,1.0,0.0,1.0,1
2025-04-05,New York Yankees,6-2,10.0,Pittsburgh Pirates,2-7,4.0,0.0,0.0,0
2025-04-05,Seattle Mariners,3-6,1.0,San Francisco Giants,7-1,4.0,0.0,0.0,0
2025-04-05,Tampa Bay Rays,4-4,4.0,Texas Rangers,7-2,6.0,0.0,4.0,1
2025-04-05,Arizona Diamondbacks,5-4,3.0,Washington Nationals,2-6,4.0,0.0,3.0,1
2025-04-06,Miami Marlins,8-11,,Atlanta Braves,6-13,,0.0,0.0,0
2025-04-06,St. Louis Cardinals,4-4,4.0,Boston Red Sox,5-4,5.0,0.0,0.0,0
2025-04-06,St. Louis Cardinals,4-5,7.0,Boston Red Sox,6-4,18.0,1.0,1.0,1
2025-04-06,San Diego Padres,8-2,8.0,Chicago Cubs,7-5,7.0,3.0,5.0,1
2025-04-06,Athletics,4-6,5.0,Colorado Rockies,2-7,12.0,2.0,2.0,1
2025-04-06,Chicago White Sox,2-7,3.0,Detroit Tigers,5-4,4.0,2.0,0.0,1
2025-04-06,Baltimore Orioles,4-6,1.0,Kansas City Royals,4-5,4.0,0.0,3.0,1
2025-04-06,Cleveland Guardians,3-6,2.0,Los Angeles Angels,6-3,6.0,1.0,0.0,1
2025-04-06,Cincinnati Reds,3-7,2.0,Milwaukee Brewers,5-5,8.0,0.0,0.0,0
2025-04-06,Houston Astros,4-5,9.0,Minnesota Twins,3-6,7.0,1.0,3.0,1
2025-04-06,Toronto Blue Jays,5-5,1.0,New York Mets,6-3,2.0,0.0,0.0,0
2025-04-06,Los Angeles Dodgers,9-2,7.0,Philadelphia Phillies,7-2,8.0,2.0,0.0,1
2025-04-06,New York Yankees,6-3,4.0,Pittsburgh Pirates,3-7,5.0,1.0,0.0,1
2025-04-06,Seattle Mariners,3-7,4.0,San Francisco Giants,8-1,5.0,1.0,0.0,1
2025-04-06,Tampa Bay Rays,4-5,3.0,Texas Rangers,8-2,4.0,0.0,0.0,0
